student_id,math_score,literature_score,english_score,physics_score,chemistry_score,biology_score,history_score,mbti_type,major_group,specific_major,major_rating
STU1937,8.3,6.2,6.4,5.0,8.1,9.9,5.2,ISFP,Nông nghiệp & Môi trường,Nông nghiệp,4.5
STU0787,6.8,9.0,9.7,5.1,5.4,5.6,9.5,INFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,4.0
STU2462,5.5,7.7,8.3,5.9,6.8,6.8,7.9,ESFJ,Du lịch & Dịch vụ,Quản trị khách sạn,4.5
STU0486,8.2,7.8,9.1,5.7,6.6,6.3,6.6,ENTP,Kinh tế & Quản lý,Kinh doanh quốc tế,4.9
STU2044,8.3,6.9,6.8,5.9,8.5,9.1,6.5,ISFJ,Nông nghiệp & Môi trường,Khoa học môi trường,4.0
STU0135,9.2,7.0,8.6,9.4,6.9,6.7,6.5,ISTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Thiết kế vi mạch,4.8
STU1701,8.8,6.8,6.8,9.0,7.3,6.5,5.2,INTJ,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện tử - viễn thông,4.4
STU1352,5.2,9.0,5.5,6.6,6.4,5.2,7.4,INFJ,Nghệ thuật & Thiết kế,Thiết kế công nghiệp,4.0
STU1424,6.0,8.5,5.1,5.8,5.5,5.0,6.8,INFP,Nghệ thuật & Thiết kế,Điêu khắc,4.0
STU1280,6.6,8.4,6.8,6.3,6.4,5.6,8.2,ISFP,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,4.4
STU0247,6.1,4.5,6.4,4.3,6.0,5.8,5.0,ISFP,Y tế & Sức khỏe,Dược học,3.4
STU1546,5.1,9.9,8.2,6.4,6.8,5.3,9.0,INFJ,Luật & Xã hội,Luật,3.8
STU0790,6.4,10.0,9.1,6.0,5.5,6.9,9.1,ENFJ,Sư phạm & Giáo dục,Giáo dục Mầm non,4.2
STU0260,9.1,6.1,5.5,5.5,8.7,8.5,5.9,ISFJ,Y tế & Sức khỏe,Dược học,4.8
STU0423,8.4,7.3,9.7,6.9,5.3,5.6,6.5,ENTJ,Kinh tế & Quản lý,Tài chính - Ngân hàng,4.0
STU1802,9.4,5.4,6.1,10.0,7.1,6.8,6.5,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Công nghệ kỹ thuật ô tô,4.9
STU1561,7.0,9.7,7.6,5.4,6.0,6.5,9.3,INFJ,Luật & Xã hội,Quản lý nhà nước,4.7
STU0211,10.0,6.7,6.1,5.3,9.4,9.3,6.3,ISTJ,Y tế & Sức khỏe,Y học dự phòng,4.3
STU0094,4.9,6.3,4.8,6.7,4.4,5.3,6.8,INTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học dữ liệu,1.9
STU1084,6.6,10.0,9.2,6.2,5.4,5.3,7.9,ENFP,Truyền thông & Báo chí,Truyền thông đại chúng,5.0
STU1264,5.4,8.5,6.0,5.3,6.4,6.4,7.6,INFJ,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,4.0
STU0174,9.2,6.3,8.2,8.6,7.4,5.4,5.9,INTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học Máy tính,4.7
STU1509,5.7,9.0,8.1,6.2,5.1,6.6,9.6,INFJ,Luật & Xã hội,Chính trị học,3.9
STU2198,8.5,6.2,5.5,8.5,7.5,5.8,6.5,ISTP,Xây dựng & Quy hoạch,Công nghệ kỹ thuật công trình xây dựng,3.9
STU2362,5.3,7.8,8.8,5.6,5.4,6.0,8.4,ENFP,Du lịch & Dịch vụ,Quản trị khách sạn,4.8
STU1314,6.2,7.7,5.8,5.2,6.0,6.6,7.4,INFP,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,4.2
STU0213,8.8,5.3,7.0,6.9,9.7,8.7,5.8,ISTJ,Y tế & Sức khỏe,Dược học,3.9
STU0509,9.8,7.5,9.5,5.1,5.3,5.1,5.5,ESTJ,Kinh tế & Quản lý,Kinh doanh quốc tế,4.6
STU1069,5.9,8.8,9.4,6.8,5.8,5.8,7.9,ENTP,Truyền thông & Báo chí,Truyền thông đa phương tiện,4.6
STU1675,9.2,6.6,6.9,8.5,7.5,6.7,5.0,ESTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ khí,3.9
STU0766,7.0,9.5,9.3,6.7,6.6,5.0,9.0,ISFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,4.4
STU1552,5.8,9.0,7.5,6.6,6.6,6.7,9.1,INTJ,Luật & Xã hội,Luật,3.8
STU2253,8.1,5.8,5.5,8.6,7.2,5.8,6.0,ISTP,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,4.5
STU0325,9.3,6.1,5.5,5.8,9.2,9.5,6.5,ISTJ,Y tế & Sức khỏe,Răng - Hàm - Mặt,4.4
STU2111,8.5,5.5,5.9,8.3,6.1,5.1,6.6,ISTP,Xây dựng & Quy hoạch,Địa kỹ thuật xây dựng,4.9
STU2155,8.0,5.9,5.4,9.5,6.8,7.0,5.7,ISTJ,Xây dựng & Quy hoạch,Công nghệ kỹ thuật công trình xây dựng,4.8
STU0189,8.5,6.9,8.1,8.8,6.9,6.1,6.6,INTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Công nghệ thông tin,4.1
STU2491,5.7,6.0,6.2,6.3,6.9,6.3,6.3,INFP,Du lịch & Dịch vụ,Du lịch,2.9
STU1770,6.2,4.5,6.8,6.8,5.7,5.0,5.3,INTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện,2.3
STU2012,7.3,5.6,5.7,5.7,9.3,8.6,6.6,INFP,Nông nghiệp & Môi trường,Công nghệ sau thu hoạch,3.9
STU0431,8.7,8.9,9.3,6.4,6.2,5.5,6.6,ESTP,Kinh tế & Quản lý,Kế toán,3.9
STU0510,9.7,8.7,8.6,6.1,5.9,6.9,6.3,ENTJ,Kinh tế & Quản lý,Kinh tế,5.0
STU1780,9.1,5.6,7.0,9.4,7.6,6.5,6.0,ISTJ,"Kỹ thuật, Cơ khí & Ô tô",Công nghệ kỹ thuật ô tô,4.7
STU1012,5.3,8.4,9.3,6.1,6.9,5.8,7.4,ISFP,Ngôn ngữ & Văn hóa,Văn học,4.9
STU2061,7.7,6.8,6.9,5.8,8.4,9.7,6.0,ISTJ,Nông nghiệp & Môi trường,Khoa học cây trồng,4.1
STU2420,6.8,8.0,9.2,6.3,5.2,6.8,8.2,ESTP,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,4.5
STU1294,6.3,7.9,5.4,6.4,5.4,6.1,7.6,ISFP,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,3.8
STU2306,5.9,8.1,9.5,6.1,6.9,6.2,8.7,ESFP,Du lịch & Dịch vụ,Quản lý thể dục thể thao,4.6
STU0369,9.6,5.8,5.6,6.7,9.2,9.2,6.3,INFJ,Y tế & Sức khỏe,Kỹ thuật phục hồi chức năng,4.8
STU1585,5.4,9.1,7.0,5.8,5.9,6.2,9.9,ENTJ,Luật & Xã hội,Quản lý nhà nước,4.6
STU0240,10.0,6.8,5.9,5.1,9.5,9.0,6.7,INFJ,Y tế & Sức khỏe,Dược học,4.4
STU0680,7.4,8.7,8.9,6.0,6.9,6.1,9.7,INFJ,Sư phạm & Giáo dục,Sư phạm Toán học,3.9
STU1367,6.9,7.7,5.0,5.9,6.2,5.1,8.4,ISFP,Nghệ thuật & Thiết kế,Thanh nhạc,4.0
STU1888,7.6,5.1,6.8,6.0,8.5,9.7,6.3,ISFJ,Nông nghiệp & Môi trường,Công nghệ sau thu hoạch,4.6
STU1079,5.6,9.4,8.3,5.7,5.7,5.2,7.8,ESFP,Truyền thông & Báo chí,Quan hệ công chúng,4.1
STU0669,6.4,8.7,9.5,5.6,5.3,5.6,9.9,ENFJ,Sư phạm & Giáo dục,Tâm lý học giáo dục,4.8
STU1201,5.8,8.9,9.2,6.6,5.1,6.1,8.8,ESFP,Truyền thông & Báo chí,Truyền thông đa phương tiện,4.6
STU0044,4.9,5.1,4.9,6.1,4.4,4.1,4.2,INFP,Công nghệ Thông tin & Kỹ thuật Máy tính,Thiết kế vi mạch,1.9
STU0942,5.6,8.1,9.1,5.9,6.7,6.7,8.4,INFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Hàn Quốc,4.9
STU1873,8.5,6.1,6.8,5.6,8.8,9.8,7.0,ISTJ,Nông nghiệp & Môi trường,Khoa học môi trường,3.9
STU1171,5.9,8.9,8.1,5.5,5.1,6.8,7.2,ESFP,Truyền thông & Báo chí,Lưu trữ học,3.9
STU1791,9.1,5.9,6.7,9.4,7.5,5.1,5.5,ISTJ,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ khí,4.8
STU1186,5.7,8.8,9.3,5.3,6.1,5.9,7.7,ENTP,Truyền thông & Báo chí,Quan hệ công chúng,4.5
STU1134,5.8,8.6,8.0,6.9,5.9,5.5,8.1,ENFP,Truyền thông & Báo chí,Quan hệ công chúng,4.8
STU0252,9.1,6.1,5.5,6.6,9.9,10.0,6.3,ISTJ,Y tế & Sức khỏe,Quản lý bệnh viện,4.8
STU1296,5.9,8.0,6.0,5.8,6.8,5.2,7.6,INFJ,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,4.0
STU2267,9.3,6.4,6.4,8.1,6.9,6.6,6.9,ISTP,Xây dựng & Quy hoạch,Kinh tế xây dựng,4.8
STU1339,5.9,8.6,6.8,6.6,6.8,5.7,6.8,INFP,Nghệ thuật & Thiết kế,Điêu khắc,4.5
STU2358,6.0,8.0,8.3,5.2,6.1,5.0,9.0,ESFJ,Du lịch & Dịch vụ,Quản lý thể dục thể thao,4.8
STU0862,5.0,8.8,9.4,5.6,5.1,6.8,8.6,INFP,Ngôn ngữ & Văn hóa,Ngôn ngữ học,4.4
STU1659,6.8,8.9,8.3,6.9,6.5,6.4,9.8,ISTJ,Luật & Xã hội,Luật quốc tế,4.7
STU0479,9.1,9.0,9.0,5.1,5.1,5.9,6.2,ENTJ,Kinh tế & Quản lý,Marketing,4.2
STU0465,9.7,8.6,8.3,5.5,5.5,6.5,5.8,ENTJ,Kinh tế & Quản lý,Kinh tế,4.7
STU1775,8.6,5.2,5.1,8.7,8.2,5.5,6.9,INTJ,"Kỹ thuật, Cơ khí & Ô tô",Robot và Trí tuệ nhân tạo,4.1
STU1208,5.5,9.8,8.3,6.4,5.3,6.8,8.5,ESFP,Truyền thông & Báo chí,Công nghệ truyền thông,4.0
STU2346,6.9,7.3,8.8,5.9,6.9,6.0,8.8,ENFP,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,4.6
STU1682,9.5,5.5,5.6,9.9,7.6,6.4,5.3,ISTJ,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện tử - viễn thông,4.6
STU0582,8.1,8.1,9.7,5.4,6.6,5.0,6.1,ESTP,Kinh tế & Quản lý,Quản trị kinh doanh,3.9
STU0434,9.0,8.4,8.3,5.4,6.3,6.6,6.8,ESTJ,Kinh tế & Quản lý,Kế toán,4.3
STU2372,6.3,8.1,9.0,5.2,6.7,5.7,8.8,ESFJ,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,4.4
STU2162,8.7,5.4,6.4,8.7,7.1,6.0,5.9,ISTP,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,4.1
STU1917,7.4,6.3,6.1,5.7,8.5,9.2,5.3,ISTJ,Nông nghiệp & Môi trường,Thú y,4.0
STU2361,5.8,7.8,8.8,5.9,5.8,5.5,7.7,ESFJ,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,4.7
STU0791,7.4,9.6,9.8,5.9,5.1,6.2,9.7,ENFJ,Sư phạm & Giáo dục,Sư phạm Tiếng Anh,4.6
STU0403,9.1,6.8,6.5,5.1,9.2,8.6,6.8,ISFJ,Y tế & Sức khỏe,Điều dưỡng,4.7
STU1848,9.0,6.2,5.9,9.1,7.5,5.4,5.9,ESTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện tử - viễn thông,4.5
STU1101,6.1,9.4,9.4,5.9,5.7,6.7,7.2,ENTP,Truyền thông & Báo chí,Lưu trữ học,3.9
STU2093,8.2,5.9,6.5,8.3,7.9,5.0,6.4,ESTJ,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,4.1
STU2177,8.1,6.4,5.6,8.0,7.8,5.9,5.1,ESTJ,Xây dựng & Quy hoạch,Kinh tế xây dựng,5.0
STU1573,5.4,8.7,7.9,6.6,5.9,6.5,9.0,ISTJ,Luật & Xã hội,Tâm lý học,5.0
STU0112,8.9,6.0,7.6,8.1,7.1,6.0,6.6,ISTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Công nghệ thông tin,4.3
STU2214,8.4,5.6,6.4,9.1,6.8,6.5,5.9,ESTJ,Xây dựng & Quy hoạch,Quản lý xây dựng,4.7
STU1833,8.5,6.7,6.3,9.0,7.2,6.7,6.3,INTJ,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ điện tử,5.0
STU2314,6.8,8.0,8.5,5.5,6.8,5.9,8.1,ESFP,Du lịch & Dịch vụ,Quản trị khách sạn,4.5
STU2129,8.1,6.5,5.5,8.9,7.8,6.7,6.8,ISTP,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,4.9
STU1551,5.7,8.6,7.4,5.8,5.7,6.5,9.9,INFJ,Luật & Xã hội,Quản lý nhà nước,4.9
STU1976,7.3,5.9,6.7,6.4,9.5,8.8,5.6,ISTJ,Nông nghiệp & Môi trường,Lâm nghiệp đô thị,3.8
STU1998,7.0,6.7,6.5,5.1,8.5,8.5,6.2,ISFJ,Nông nghiệp & Môi trường,Công nghệ thực phẩm,4.5
STU0197,9.8,5.6,7.7,9.0,7.0,5.5,5.6,ISTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Mạng máy tính và truyền thông dữ liệu,4.1
STU0963,5.3,8.5,9.5,6.8,5.5,6.8,8.5,INTP,Ngôn ngữ & Văn hóa,Tiếng Việt và văn hoá Việt Nam,3.9
STU0583,8.2,7.4,8.3,6.7,6.4,5.0,5.9,ENTP,Kinh tế & Quản lý,Kinh tế quốc tế,4.7
STU1376,5.7,5.5,5.9,5.7,4.3,4.9,4.2,INTJ,Nghệ thuật & Thiết kế,Thiết kế đồ họa,2.5
STU1362,6.0,8.8,6.4,5.2,5.4,5.5,7.8,ISFP,Nghệ thuật & Thiết kế,Thiết kế đồ họa,4.6
STU0444,8.3,8.6,8.5,7.0,5.8,6.8,5.4,ENTP,Kinh tế & Quản lý,Kinh doanh quốc tế,3.8
STU2343,6.6,7.7,9.4,5.5,6.3,6.8,7.7,ESTP,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,3.8
STU2033,5.4,5.0,5.3,4.6,6.0,6.6,6.6,ENTP,Nông nghiệp & Môi trường,Nông nghiệp,2.3
STU2169,8.7,6.3,6.5,8.2,7.4,5.9,5.4,ESTJ,Xây dựng & Quy hoạch,Kinh tế xây dựng,4.5
STU1923,7.9,7.0,5.6,5.4,8.7,9.4,5.1,ISTJ,Nông nghiệp & Môi trường,Khoa học môi trường,4.2
STU1747,8.8,5.9,6.2,9.5,8.1,5.1,6.7,ISTJ,"Kỹ thuật, Cơ khí & Ô tô",Công nghệ kỹ thuật ô tô,3.8
STU1223,6.3,9.9,8.9,6.0,6.8,5.1,8.5,ENTP,Truyền thông & Báo chí,Lưu trữ học,4.2
STU1548,6.9,9.4,7.5,5.1,6.4,7.0,9.1,INFJ,Luật & Xã hội,Chính trị học,4.6
STU0045,9.9,5.2,9.6,9.0,7.0,5.7,6.9,ISTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Kỹ thuật phần mềm,4.6
STU0297,8.8,6.9,5.8,6.2,9.0,8.9,5.2,ISFP,Y tế & Sức khỏe,Dược học,4.8
STU0841,5.7,6.8,6.2,6.1,5.5,6.1,6.8,ESTP,Ngôn ngữ & Văn hóa,Ngôn ngữ Anh,2.6
STU1536,5.4,9.0,7.1,6.2,6.1,6.8,9.0,ENTJ,Luật & Xã hội,Xã hội học,4.2
STU2181,8.7,6.4,6.2,9.0,6.4,6.0,6.2,ESTJ,Xây dựng & Quy hoạch,Kỹ thuật xây dựng,4.4
STU1954,5.2,5.9,5.9,6.2,6.5,4.5,5.2,ENTJ,Nông nghiệp & Môi trường,Lâm nghiệp đô thị,2.6
STU1413,5.9,8.8,5.9,6.4,5.1,6.2,8.3,INFJ,Nghệ thuật & Thiết kế,Thiết kế công nghiệp,4.3
STU1564,6.0,9.9,7.4,5.8,5.7,5.7,9.9,INTJ,Luật & Xã hội,Luật kinh tế,4.4
STU0565,9.6,8.7,8.0,5.7,5.8,6.2,7.0,ENTP,Kinh tế & Quản lý,Tài chính - Ngân hàng,4.6
STU0171,9.4,5.1,8.8,9.9,8.3,5.6,6.4,ISTJ,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học dữ liệu,4.0
STU0523,8.3,8.6,9.8,6.6,6.2,5.9,6.4,ENTJ,Kinh tế & Quản lý,Kinh doanh quốc tế,4.2
STU1965,7.7,6.4,7.0,5.0,8.1,8.7,5.4,ISFP,Nông nghiệp & Môi trường,Khoa học cây trồng,4.0
STU2307,5.3,7.4,9.5,5.0,6.5,5.6,8.7,ESFJ,Du lịch & Dịch vụ,Du lịch,4.3
STU1436,6.1,8.7,6.5,5.7,5.1,6.8,7.6,INFJ,Nghệ thuật & Thiết kế,Đạo diễn Điện ảnh - Truyền hình,4.1
STU0979,6.3,8.5,9.6,6.1,6.1,6.6,8.1,ISFP,Ngôn ngữ & Văn hóa,Tiếng Việt và văn hoá Việt Nam,4.7
STU1138,5.4,9.3,8.6,5.7,7.0,5.1,8.6,ENTP,Truyền thông & Báo chí,Truyền thông đại chúng,3.9
STU0299,8.7,5.2,6.9,5.9,9.4,8.6,6.0,ISFJ,Y tế & Sức khỏe,Răng - Hàm - Mặt,4.1
STU1353,6.7,8.5,5.6,6.7,5.1,5.7,7.6,ISFP,Nghệ thuật & Thiết kế,Kiến trúc,4.2
STU1533,6.7,8.9,8.3,6.4,5.4,6.4,8.6,ENTJ,Luật & Xã hội,Tâm lý học,4.1
STU1886,7.1,5.8,5.6,5.1,8.0,9.2,6.1,ISFJ,Nông nghiệp & Môi trường,Khoa học cây trồng,4.4
STU0446,9.0,8.2,8.2,6.1,6.0,5.2,6.3,ENTP,Kinh tế & Quản lý,Kinh tế quốc tế,4.3
STU1874,7.2,6.2,6.7,5.7,8.2,9.1,6.8,ISFP,Nông nghiệp & Môi trường,Công nghệ sinh học,4.0
STU0907,6.9,8.0,9.4,6.3,6.9,6.5,8.5,ISFP,Ngôn ngữ & Văn hóa,Ngôn ngữ học,4.7
STU0614,9.9,8.3,8.5,6.3,6.7,6.9,6.2,ESTP,Kinh tế & Quản lý,Kinh doanh quốc tế,4.7
STU1610,5.9,9.9,7.0,5.0,5.2,6.1,9.9,ENTJ,Luật & Xã hội,Luật quốc tế,4.3
STU1030,5.5,8.7,9.7,5.8,5.4,5.3,7.9,INFP,Ngôn ngữ & Văn hóa,Ngôn ngữ Nhật,4.8
STU1652,5.4,9.1,8.1,6.4,5.2,5.7,9.5,ISTJ,Luật & Xã hội,Công tác xã hội,4.6
STU2196,8.7,5.7,6.4,9.3,6.4,5.7,5.2,ISTJ,Xây dựng & Quy hoạch,Công nghệ kỹ thuật công trình xây dựng,4.0
STU1232,6.3,9.1,8.8,6.1,5.7,5.3,7.2,ENFP,Truyền thông & Báo chí,Truyền thông đa phương tiện,3.8
STU0097,8.5,5.5,8.1,9.0,6.4,6.7,6.0,ENTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Mạng máy tính và truyền thông dữ liệu,4.1
STU2386,5.1,7.7,9.0,5.8,6.3,5.3,8.2,ENFP,Du lịch & Dịch vụ,Quản trị dịch vụ du lịch và lữ hành,3.8
STU0212,9.3,6.7,5.9,6.8,9.9,9.7,6.8,ISFJ,Y tế & Sức khỏe,Quản lý bệnh viện,4.3
STU0238,9.5,5.2,5.8,5.9,9.7,8.7,6.0,ISTJ,Y tế & Sức khỏe,Răng - Hàm - Mặt,4.2
STU0789,6.8,9.8,9.6,5.2,5.4,6.0,9.8,ENFJ,Sư phạm & Giáo dục,Giáo dục Tiểu học,4.0
STU1230,5.7,9.9,9.0,5.5,5.8,6.9,8.2,ENTP,Truyền thông & Báo chí,Quan hệ công chúng,4.0
STU2019,8.2,6.6,6.0,5.7,9.3,10.0,6.7,ISTJ,Nông nghiệp & Môi trường,Khoa học môi trường,4.2
STU1174,6.8,8.5,9.2,7.0,6.3,6.0,7.9,ESFP,Truyền thông & Báo chí,Công nghệ truyền thông,4.5
STU1884,8.4,5.3,5.2,6.4,9.4,9.3,6.8,INFP,Nông nghiệp & Môi trường,Nông nghiệp,4.1
STU1129,5.9,9.1,8.5,5.0,5.3,6.6,8.3,ENFP,Truyền thông & Báo chí,Báo chí,4.5
STU1815,9.0,5.9,5.3,9.0,8.4,6.0,6.0,INTJ,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điều khiển và tự động hóa,4.2
STU1670,9.2,6.2,5.0,9.2,7.8,5.6,5.6,ISTP,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật cơ điện tử,4.4
STU0421,8.2,7.4,8.3,6.0,5.7,6.0,5.7,ESTJ,Kinh tế & Quản lý,Tài chính - Ngân hàng,3.9
STU1090,5.8,9.3,8.1,6.1,5.7,6.1,7.9,ESFP,Truyền thông & Báo chí,Truyền thông đa phương tiện,4.4
STU1179,7.0,8.9,8.7,5.7,6.8,5.2,8.7,ENTP,Truyền thông & Báo chí,Thông tin - thư viện,4.6
STU0179,9.6,5.8,8.6,8.7,8.0,5.2,6.5,ENTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Kỹ thuật phần mềm,4.6
STU0924,5.1,8.2,9.9,6.4,6.7,5.5,7.3,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ Hàn Quốc,4.7
STU0573,9.0,8.2,8.9,6.1,5.9,5.3,6.9,ESTJ,Kinh tế & Quản lý,Quản trị kinh doanh,4.4
STU0837,6.6,8.9,9.6,6.9,6.7,6.0,7.8,INTP,Ngôn ngữ & Văn hóa,Ngôn ngữ Nhật,4.3
STU1703,8.7,6.4,5.4,9.0,7.1,5.4,6.9,INTJ,"Kỹ thuật, Cơ khí & Ô tô",Kỹ thuật điện tử - viễn thông,4.2
STU0195,9.4,7.0,7.7,9.8,8.5,6.3,6.3,ENTP,Công nghệ Thông tin & Kỹ thuật Máy tính,Khoa học Máy tính,3.8
STU2017,8.2,6.5,6.2,5.7,8.3,9.3,6.2,ISFJ,Nông nghiệp & Môi trường,Lâm nghiệp đô thị,4.5
STU1911,8.0,6.7,5.6,6.5,8.8,8.8,5.9,ISTJ,Nông nghiệp & Môi trường,Thú y,3.9
STU1034,6.4,9.0,9.9,7.0,5.2,6.4,7.8,INFP,Ngôn ngữ & Văn hóa,Văn học,4.4
STU1616,5.1,8.7,7.4,6.2,5.1,7.0,8.5,INTJ,Luật & Xã hội,Xã hội học,3.9
STU1741,9.4,6.0,5.6,9.5,7.5,5.3,6.4,ISTJ,"Kỹ thuật, Cơ khí & Ô tô",Công nghệ kỹ thuật ô tô,4.5
STU0801,6.8,9.0,9.3,5.3,5.6,5.4,9.5,ESFJ,Sư phạm & Giáo dục,Sư phạm Ngữ văn,4.2
STU0618,9.7,7.3,8.2,5.0,6.9,6.9,5.2,ENTP,Kinh tế & Quản lý,Quản trị kinh doanh,4.1
STU2470,6.3,7.5,8.7,6.3,5.4,5.3,8.8,ENFP,Du lịch & Dịch vụ,Quản trị nhà hàng và dịch vụ ăn uống,4.2
STU1950,7.1,6.9,5.7,5.1,8.1,9.1,5.7,ISTJ,Nông nghiệp & Môi trường,Nuôi trồng thủy sản,4.3
STU1438,6.5,8.2,5.1,6.7,6.4,5.9,6.8,ISFP,Nghệ thuật & Thiết kế,Thiết kế đồ họa,4.2
STU0701,7.2,10.0,9.4,5.2,5.0,5.8,9.0,ENFJ,Sư phạm & Giáo dục,Sư phạm Tin học,4.2
STU1463,6.7,8.9,7.7,6.7,5.4,5.8,8.6,INFJ,Luật & Xã hội,Quản lý nhà nước,4.6
STU1619,5.9,9.9,7.1,6.3,6.0,6.9,9.1,ISTJ,Luật & Xã hội,Chính trị học,4.0
STU2478,5.3,7.4,8.6,5.7,5.9,6.3,8.4,ENFP,Du lịch & Dịch vụ,Du lịch,4.3
STU1289,5.0,7.8,6.4,6.5,6.4,5.1,7.9,INFP,Nghệ thuật & Thiết kế,Thiết kế đồ họa,4.8
STU1222,5.8,8.7,9.2,5.2,6.9,5.5,7.7,ENTP,Truyền thông & Báo chí,Báo chí,4.8
STU1331,6.6,8.8,5.7,5.6,6.6,6.1,7.7,INFP,Nghệ thuật & Thiết kế,Thiết kế công nghiệp,3.9
STU0354,9.1,6.6,5.6,6.7,9.7,9.0,5.2,INFJ,Y tế & Sức khỏe,Kỹ thuật phục hồi chức năng,4.0
STU2132,8.7,5.6,6.3,8.6,6.6,5.7,6.9,ISTP,Xây dựng & Quy hoạch,Quản lý xây dựng,4.5
STU1323,5.7,7.7,6.8,5.8,6.8,5.3,8.1,INFP,Nghệ thuật & Thiết kế,Điêu khắc,4.1
STU1531,5.8,9.1,7.6,6.8,6.4,6.0,9.9,ENTJ,Luật & Xã hội,Tâm lý học,4.3
