student_id,major,gpa,taken_subjects,interests
SV10010,Âm nhạc học,7.2,"Kỹ năng mềm, Toán cao cấp, Giải tích, Soạn nhạc cơ bản, Tư duy logic và giải quyết vấn đề, Âm nhạc hiện đại, Môn tự chọn 3, Môn tự chọn 14, Triết học Mác-Lênin, Biểu diễn nhạc cụ, Âm nhạc dân gian Việt Nam, Giáo dục quốc phòng - An ninh, Âm nhạc lý thuyết, Môn tự chọn 5, Phân tích tác phẩm âm nhạc, Tin học cơ bản, Môn tự chọn 1, Môn tự chọn 2, Giáo dục thể chất, Âm nhạc cổ điển phương Tây, Xác suất thống kê, Môn tự chọn 13, Hòa âm, Môn tự chọn 9, Môn tự chọn 11, Môn tự chọn 12, Môn tự chọn 7, Môn tự chọn 4, Tiếng Anh chuyên ngành, Lịch sử âm nhạc, Môn tự chọn 6, Kỹ thuật thanh nhạc, Tư tưởng Hồ Chí Minh, Môn tự chọn 8, Môn tự chọn 10","Du lịch khám phá, Âm nhạc, Thơ ca, Đọc sách, Khiêu vũ"
SV10011,Quản trị khách sạn,7.2,"Quản trị chiến lược, Kinh tế vĩ mô, Kinh tế quốc tế, Giáo dục quốc phòng - An ninh, Marketing số, Kỹ năng mềm, Tiếng Anh chuyên ngành, Kế toán quản trị, Thương mại điện tử, Tin học cơ bản","Bán hàng, Khởi nghiệp, Fintech"
SV10012,Điều dưỡng,7.9,"Giải phẫu học, Toán cao cấp, Xác suất thống kê, Dược lý lâm sàng, Môn tự chọn 3, Dinh dưỡng học, Dược lý học, Giải tích, Tin học cơ bản, Sinh lý học, Triết học Mác-Lênin, Kỹ năng mềm, Bệnh học nội khoa, Dược lâm sàng, Giáo dục quốc phòng - An ninh, Giáo dục thể chất, Vi sinh y học, Tiếng Anh chuyên ngành, Bệnh học truyền nhiễm, Bệnh học ngoại khoa, Môn tự chọn 2, Hóa sinh y học, Miễn dịch học, Môn tự chọn 1, Tư tưởng Hồ Chí Minh, Y học cổ truyền, Y học dự phòng, Tư duy logic và giải quyết vấn đề",Phát triển web
SV10013,Marketing,5.8,"Kinh tế lượng, Tư duy logic và giải quyết vấn đề, Giải tích, Logistics, Kế toán tài chính, Kinh tế quốc tế, Tài chính doanh nghiệp, Kinh tế phát triển, Kỹ năng mềm, Marketing số, Quản trị chiến lược, Kinh tế vi mô, Kinh tế vĩ mô, Toán cao cấp, Quản trị kinh doanh, Tiếng Anh chuyên ngành, Ngân hàng thương mại, Xác suất thống kê, Marketing cơ bản, Thương mại điện tử, Tài chính quốc tế, Quản trị nhân sự","Đầu tư, Thương mại điện tử"
SV10014,Dược học,6,"Dinh dưỡng học, Y học dự phòng, Toán cao cấp, Giáo dục thể chất, Bệnh học ngoại khoa, Dược lâm sàng, Tiếng Anh chuyên ngành, Dược lý học, Kỹ năng mềm, Y học cổ truyền, Môn tự chọn 4, Bệnh học truyền nhiễm, Dược lý lâm sàng, Miễn dịch học, Giải tích, Giáo dục quốc phòng - An ninh, Môn tự chọn 2, Giải phẫu học, Tin học cơ bản, Hóa sinh y học, Vi sinh y học, Môn tự chọn 3, Môn tự chọn 1, Xác suất thống kê, Tư duy logic và giải quyết vấn đề, Tư tưởng Hồ Chí Minh, Triết học Mác-Lênin, Bệnh học nội khoa, Sinh lý học","Kể chuyện, Khiêu vũ, Lập trình, Ẩm thực"
SV10015,Sư phạm Toán,7.1,"Kỹ năng mềm, Tư duy logic và giải quyết vấn đề, Đại số tuyến tính, Lý thuyết số, Toán rời rạc, Tư tưởng Hồ Chí Minh, Phương pháp giảng dạy Toán, Bài tập toán nâng cao, Tiếng Anh chuyên ngành, Xác suất thống kê, Giáo dục thể chất, Giải tích, Toán học ứng dụng, Hình học giải tích, Giáo dục quốc phòng - An ninh, Dạy học toán phổ thông","Thơ ca, Yoga"
SV10016,Kinh tế số,6.7,"Giải tích, Marketing cơ bản, Xác suất thống kê, Ngân hàng thương mại, Thương mại điện tử, Kinh tế quốc tế, Kinh tế phát triển, Giáo dục thể chất, Logistics, Tài chính doanh nghiệp, Quản trị kinh doanh, Tin học cơ bản, Tài chính quốc tế, Kỹ năng mềm, Tiếng Anh chuyên ngành, Kế toán tài chính, Tư tưởng Hồ Chí Minh, Kinh tế lượng, Kinh tế vĩ mô, Triết học Mác-Lênin, Toán cao cấp, Kế toán quản trị, Kinh tế vi mô, Chuỗi cung ứng, Tư duy logic và giải quyết vấn đề","Quản trị dự án, Kinh doanh quốc tế, Khởi nghiệp, Fintech"
SV10017,Truyền thông đa phương tiện,8,"Big Data và Hadoop, Lập trình web nâng cao, Phát triển ứng dụng web, Tư duy logic và giải quyết vấn đề, Hệ thống nhúng, An ninh mạng cơ bản, Cloud Computing - AWS/Azure, Học máy, DevOps và CI/CD, Cấu trúc dữ liệu và Giải thuật, Quản lý dự án CNTT, Machine Learning với TensorFlow, Mạng máy tính, Kiểm thử phần mềm, Xử lý ngôn ngữ tự nhiên, Giải tích, Hệ điều hành",Phân tích dữ liệu
SV10018,Logistics và Quản lý chuỗi cung ứng,6.8,"Kiểm thử phần mềm, Tư tưởng Hồ Chí Minh, Kỹ thuật phần mềm nâng cao, Lập trình web nâng cao, Hệ thống phân tán, An ninh mạng cơ bản, Cơ sở dữ liệu, Blockchain cơ bản, Giáo dục thể chất, Lập trình hướng đối tượng, Phát triển ứng dụng di động, Internet of Things, Kỹ năng mềm, Hệ điều hành, Học sâu, Tiếng Anh chuyên ngành, Giải tích, Thị giác máy tính, Tư duy logic và giải quyết vấn đề, Machine Learning với TensorFlow, Cyber Security nâng cao, Hệ thống nhúng, Xác suất thống kê, Phát triển phần mềm doanh nghiệp, Phát triển ứng dụng web, Xử lý ngôn ngữ tự nhiên, Triết học Mác-Lênin, An toàn thông tin, Mạng máy tính, Lập trình Java, Cấu trúc dữ liệu và Giải thuật, Lập trình C/C++, Phát triển game, Quản lý dự án CNTT, Trí tuệ nhân tạo, Tin học cơ bản, Mật mã học, Lập trình di động iOS/Android, Toán cao cấp","Cloud Computing, Phát triển ứng dụng di động, Phát triển web"
SV10019,An ninh mạng,6.3,"Mật mã học, Kỹ thuật phần mềm nâng cao, Hệ thống nhúng, Xác suất thống kê, Lập trình Java, Tiếng Anh chuyên ngành, Cloud Computing - AWS/Azure, Kiểm thử phần mềm, Xử lý ngôn ngữ tự nhiên, Cyber Security nâng cao, Giáo dục quốc phòng - An ninh, Học máy, Phát triển ứng dụng web, Tư duy logic và giải quyết vấn đề, Big Data và Hadoop, Lập trình C/C++, Cơ sở dữ liệu, Internet of Things","Machine Learning, Cyber Security, Phát triển ứng dụng di động, Lập trình, Game Development"
SV10020,Hệ thống thông tin,9.2,"Phát triển ứng dụng web, Hệ thống nhúng, Mạng máy tính, Lập trình Python, Lập trình web nâng cao, Tư tưởng Hồ Chí Minh, Cyber Security nâng cao, Phân tích và thiết kế hệ thống, DevOps và CI/CD, Giải tích, Xử lý ngôn ngữ tự nhiên, Machine Learning với TensorFlow, Trí tuệ nhân tạo, Tiếng Anh chuyên ngành, Lập trình di động iOS/Android, Mật mã học, An ninh mạng cơ bản, Kỹ thuật phần mềm nâng cao, Triết học Mác-Lênin, Giáo dục thể chất, Xác suất thống kê, Học sâu, Lập trình Java, Internet of Things, Kiểm thử phần mềm, Cơ sở dữ liệu","Phân tích dữ liệu, Cyber Security"
SV10021,Sư phạm Ngữ văn,7.5,"Văn học so sánh, Văn học Việt Nam cổ điển, Phân tích tác phẩm văn học, Lí luận văn học, Phương pháp dạy văn lớp 12, Tin học cơ bản, Toán cao cấp, Văn học Việt Nam hiện đại, Phương pháp giảng dạy Ngữ văn, Xác suất thống kê, Tiếng Anh chuyên ngành, Văn học dân gian, Tư duy logic và giải quyết vấn đề, Giáo dục thể chất, Giải tích, Tư tưởng Hồ Chí Minh, Môn tự chọn 1, Triết học Mác-Lênin, Văn học hiện đại Việt Nam, Kỹ năng mềm, Nghiên cứu tác phẩm Nguyễn Du, Lịch sử văn học thế giới, Giáo dục quốc phòng - An ninh, Ngữ pháp tiếng Việt","Âm nhạc, Làm video, Kể chuyện"
SV10022,Kỹ thuật phần mềm,7.8,"Kiểm thử phần mềm, Giải tích, Tiếng Anh chuyên ngành, An ninh mạng cơ bản, Hệ thống phân tán, Phát triển phần mềm doanh nghiệp, Phát triển game, Lập trình Python, Kỹ năng mềm, Cơ sở dữ liệu, Giáo dục thể chất, Phát triển ứng dụng web, Thị giác máy tính, An toàn thông tin, Lập trình Java, Quản lý dự án CNTT, Tư duy logic và giải quyết vấn đề, Big Data và Hadoop, Thiết kế giao diện người dùng, Học sâu, Tư tưởng Hồ Chí Minh, Lập trình hướng đối tượng, Machine Learning với TensorFlow, Xác suất thống kê, DevOps và CI/CD, Cấu trúc dữ liệu và Giải thuật, Mạng máy tính, Lập trình web nâng cao","Big Data, Phân tích dữ liệu"
SV10023,Kỹ thuật máy tính,6.3,"Mạng viễn thông, Tiếng Anh chuyên ngành, Hệ thống nhúng nâng cao, Truyền thông số, Mạng không dây, Xử lý tín hiệu số, Anten và sóng điện từ, Giải tích, Hệ thống điện tử nhúng, Toán cao cấp, Điện tử năng lượng, Kỹ thuật vi mạch, Đo lường điện tử, Xác suất thống kê","Phát triển web, Blockchain, DevOps"
SV10024,Khoa học dữ liệu,7.2,"Hệ điều hành, An ninh mạng cơ bản, Lập trình hướng đối tượng, Cấu trúc dữ liệu và Giải thuật, Tư duy logic và giải quyết vấn đề, DevOps và CI/CD, Blockchain cơ bản, Toán cao cấp, Phát triển game, Machine Learning với TensorFlow, Triết học Mác-Lênin, Kỹ thuật phần mềm nâng cao, Phát triển phần mềm doanh nghiệp, Lập trình web nâng cao, Hệ thống phân tán, Lập trình Java, Phát triển ứng dụng di động, Quản lý dự án CNTT, Lập trình di động iOS/Android, Phát triển ứng dụng web, Trí tuệ nhân tạo, Tư tưởng Hồ Chí Minh","Internet of Things, Phát triển ứng dụng di động, Cloud Computing"
SV10025,Quản trị khách sạn,7.8,"Kinh tế vi mô, Thương mại điện tử, Tài chính quốc tế, Kinh tế vĩ mô, Giáo dục quốc phòng - An ninh, Toán cao cấp, Giải tích, Kỹ năng mềm, Triết học Mác-Lênin, Tiếng Anh chuyên ngành, Tài chính doanh nghiệp, Kinh tế quốc tế, Giáo dục thể chất, Xác suất thống kê, Marketing cơ bản, Kế toán quản trị, Kế toán tài chính, Tin học cơ bản, Marketing số, Logistics, Chuỗi cung ứng, Kinh tế phát triển, Kinh tế lượng, Tư duy logic và giải quyết vấn đề","Quản trị dự án, Kinh doanh quốc tế, Bán hàng"
SV10026,Công nghệ sinh học,6.5,"Toán cao cấp, Tiếng Anh chuyên ngành, Công nghệ gen, Tư duy logic và giải quyết vấn đề, Vật liệu sinh học, Kỹ thuật mô sinh học, Kỹ thuật tế bào, Công nghệ sinh học ứng dụng, Giải tích, Công nghệ nano y sinh, Thiết bị y tế, Giáo dục thể chất, Giáo dục quốc phòng - An ninh","Lập trình, Khoa học dữ liệu, Phân tích dữ liệu, Internet of Things, Phát triển ứng dụng di động"
SV10027,Dược học,8.1,"Giải tích, Miễn dịch học, Y học dự phòng, Bệnh học ngoại khoa, Y học cổ truyền, Môn tự chọn 1, Giáo dục thể chất, Kỹ năng mềm, Bệnh học nội khoa, Tư duy logic và giải quyết vấn đề, Sinh lý học, Giải phẫu học, Dược lý lâm sàng, Giáo dục quốc phòng - An ninh, Tin học cơ bản, Tư tưởng Hồ Chí Minh, Dinh dưỡng học, Triết học Mác-Lênin, Hóa sinh y học, Vi sinh y học, Tiếng Anh chuyên ngành, Xác suất thống kê, Dược lý học, Dược lâm sàng, Bệnh học truyền nhiễm, Toán cao cấp","Vẽ tranh, Trí tuệ nhân tạo"
SV10028,Luật,7.1,"Hệ thống phân tán, Mật mã học, Quản lý dự án CNTT, Phát triển ứng dụng di động, Toán cao cấp, Kiểm thử phần mềm, Cyber Security nâng cao, Machine Learning với TensorFlow, Thị giác máy tính, Tư duy logic và giải quyết vấn đề, Big Data và Hadoop, An toàn thông tin, Cloud Computing - AWS/Azure, Học máy, Lập trình C/C++, Lập trình Java, Cấu trúc dữ liệu và Giải thuật, Phát triển ứng dụng web, Lập trình hướng đối tượng, Internet of Things, Cơ sở dữ liệu, Trí tuệ nhân tạo, Lập trình di động iOS/Android, Xử lý ngôn ngữ tự nhiên, Xác suất thống kê, Lập trình web nâng cao, Học sâu, DevOps và CI/CD, Giải tích","DevOps, Robot học"
SV10029,Kỹ thuật hóa học,7.4,"Môn tự chọn 16, Môn tự chọn 13, Môn tự chọn 6, Giải tích, Tiếng Anh chuyên ngành, Tư tưởng Hồ Chí Minh, Môn tự chọn 11, Môn tự chọn 9, Hóa học công nghiệp, Môn tự chọn 12, Môn tự chọn 14, Kỹ thuật polymer, Tin học cơ bản, Xác suất thống kê, Hóa phân tích môi trường, Môn tự chọn 1, Môn tự chọn 10, Môn tự chọn 7, Kỹ thuật phản ứng hóa học, Kỹ năng mềm, Môn tự chọn 2, Kỹ thuật hóa học, Môn tự chọn 5, Môn tự chọn 4, Công nghệ xử lý nước, Môn tự chọn 8, Triết học Mác-Lênin, Môn tự chọn 17, Tư duy logic và giải quyết vấn đề, Môn tự chọn 3, Giáo dục thể chất, Xử lý nước thải, Môn tự chọn 15, Xử lý chất thải rắn, Giáo dục quốc phòng - An ninh, Ô nhiễm không khí, Kỹ thuật nhiệt hóa học, Toán cao cấp, Kỹ thuật môi trường","Trí tuệ nhân tạo, Thiết kế UI/UX"
SV10030,Kỹ thuật điện,7.1,"Hệ thống điều khiển tự động, Điện tử số, Anten và sóng điện từ, Xác suất thống kê, Triết học Mác-Lênin, Giáo dục thể chất, Xử lý tín hiệu số, Tư tưởng Hồ Chí Minh, Giáo dục quốc phòng - An ninh, Truyền thông quang, Tiếng Anh chuyên ngành, Điện tử công suất, Điện tử cơ bản, Kỹ thuật radar, Điện tử năng lượng, Mạng không dây, Truyền thông vô tuyến, Hệ thống điện tử nhúng, Đo lường điện tử, Truyền thông số, Toán cao cấp, Kỹ năng mềm, Tư duy logic và giải quyết vấn đề, Tin học cơ bản, Giải tích, Mạng viễn thông, Kỹ thuật vi mạch, Điện tử viễn thông, Hệ thống nhúng nâng cao","Thiết kế UI/UX, Game Development"
SV10031,Công nghệ đa phương tiện,9.6,"Giải tích, Kiểm thử phần mềm, Triết học Mác-Lênin, Tiếng Anh chuyên ngành, Xác suất thống kê, Lập trình hướng đối tượng, Lập trình web nâng cao, Xử lý ngôn ngữ tự nhiên, Học máy, Toán cao cấp, An ninh mạng cơ bản, Machine Learning với TensorFlow, Phát triển phần mềm doanh nghiệp, Lập trình di động iOS/Android, Tư tưởng Hồ Chí Minh, DevOps và CI/CD, Cloud Computing - AWS/Azure, Quản lý dự án CNTT, Thiết kế giao diện người dùng, Kỹ năng mềm, Kỹ thuật phần mềm nâng cao, Giáo dục quốc phòng - An ninh, Cyber Security nâng cao, Lập trình Python, Blockchain cơ bản, Học sâu, Phát triển ứng dụng web, Cấu trúc dữ liệu và Giải thuật, Hệ điều hành, Tư duy logic và giải quyết vấn đề, Trí tuệ nhân tạo","Cyber Security, Trí tuệ nhân tạo, Blockchain"
SV10032,Kỹ thuật môi trường,7.7,"Xử lý nước thải, Triết học Mác-Lênin, Kỹ thuật polymer, Môn tự chọn 14, Môn tự chọn 6, Tư tưởng Hồ Chí Minh, Hóa học công nghiệp, Kỹ thuật hóa học, Môn tự chọn 4, Kỹ thuật phản ứng hóa học, Ô nhiễm không khí, Tiếng Anh chuyên ngành, Môn tự chọn 9, Toán cao cấp, Giáo dục thể chất, Kỹ năng mềm, Công nghệ xử lý nước, Môn tự chọn 12, Môn tự chọn 7, Môn tự chọn 13, Kỹ thuật môi trường, Giáo dục quốc phòng - An ninh, Môn tự chọn 11, Môn tự chọn 15, Xử lý chất thải rắn, Kỹ thuật nhiệt hóa học, Môn tự chọn 10, Môn tự chọn 1, Môn tự chọn 5, Hóa phân tích môi trường, Môn tự chọn 8, Tin học cơ bản, Giải tích, Tư duy logic và giải quyết vấn đề, Môn tự chọn 2, Xác suất thống kê, Môn tự chọn 3","Phân tích dữ liệu, Big Data, Trí tuệ nhân tạo"
SV10033,Kỹ thuật điện tử - Viễn thông,6.6,"Đo lường điện tử, Hệ thống điều khiển tự động, Truyền thông quang, Kỹ năng mềm, Kỹ thuật radar, Xác suất thống kê, Tin học cơ bản, Điện tử công suất, Hệ thống điện tử nhúng, Xử lý tín hiệu số, Anten và sóng điện từ, Tư tưởng Hồ Chí Minh, Tư duy logic và giải quyết vấn đề, Tiếng Anh chuyên ngành, Giải tích, Mạng không dây, Kỹ thuật vi mạch, Mạng viễn thông, Điện tử cơ bản, Triết học Mác-Lênin, Điện tử số, Điện tử năng lượng, Truyền thông vô tuyến, Điện tử viễn thông, Truyền thông số, Giáo dục quốc phòng - An ninh","Lập trình, Cloud Computing"
SV10034,Kỹ thuật phần mềm,8.5,"Cơ sở dữ liệu, Xử lý ngôn ngữ tự nhiên, Thiết kế giao diện người dùng, Giải tích, Phát triển phần mềm doanh nghiệp, Lập trình web nâng cao, Kỹ thuật phần mềm nâng cao, Lập trình C/C++, Big Data và Hadoop, Học sâu, Xác suất thống kê, Hệ thống nhúng, Tư duy logic và giải quyết vấn đề, Thị giác máy tính, Cloud Computing - AWS/Azure, Học máy, Trí tuệ nhân tạo, Lập trình Python, Cấu trúc dữ liệu và Giải thuật, Phát triển ứng dụng web","Thiết kế UI/UX, Phát triển ứng dụng di động"
SV10035,Răng - Hàm - Mặt,6.5,"Môn tự chọn 2, Kỹ năng mềm, Bệnh học truyền nhiễm, Tư tưởng Hồ Chí Minh, Triết học Mác-Lênin, Môn tự chọn 1, Tiếng Anh chuyên ngành, Môn tự chọn 6, Bệnh học ngoại khoa, Môn tự chọn 7, Tin học cơ bản, Giáo dục quốc phòng - An ninh, Dinh dưỡng học, Hóa sinh y học, Sinh lý học, Vi sinh y học, Y học cổ truyền, Môn tự chọn 5, Xác suất thống kê, Môn tự chọn 3, Giáo dục thể chất, Dược lý học, Giải phẫu học, Tư duy logic và giải quyết vấn đề, Y học dự phòng, Bệnh học nội khoa, Miễn dịch học, Môn tự chọn 4, Toán cao cấp, Giải tích, Dược lý lâm sàng, Dược lâm sàng","Robot học, Lập trình"
SV10036,Kỹ thuật điện,7.9,"Hệ thống điện tử nhúng, Kỹ thuật vi mạch, Giáo dục quốc phòng - An ninh, Tin học cơ bản, Điện tử năng lượng, Đo lường điện tử, Mạng viễn thông, Truyền thông vô tuyến, Điện tử số, Xử lý tín hiệu số, Mạng không dây, Điện tử viễn thông, Điện tử cơ bản, Giải tích, Hệ thống nhúng nâng cao, Điện tử công suất, Hệ thống điều khiển tự động, Truyền thông số, Tư tưởng Hồ Chí Minh",Thiết kế UI/UX
SV10037,Kỹ thuật môi trường,5.7,"Xác suất thống kê, Kỹ thuật polymer, Giáo dục thể chất, Môn tự chọn 4, Kỹ thuật môi trường, Môn tự chọn 2, Môn tự chọn 7, Môn tự chọn 3, Tư duy logic và giải quyết vấn đề, Hóa học công nghiệp, Môn tự chọn 6, Xử lý chất thải rắn, Công nghệ xử lý nước, Giáo dục quốc phòng - An ninh, Kỹ thuật nhiệt hóa học, Môn tự chọn 5, Hóa phân tích môi trường, Giải tích, Kỹ năng mềm, Tin học cơ bản, Tư tưởng Hồ Chí Minh, Tiếng Anh chuyên ngành, Môn tự chọn 9, Triết học Mác-Lênin, Kỹ thuật hóa học, Môn tự chọn 11, Môn tự chọn 1, Toán cao cấp, Môn tự chọn 8, Kỹ thuật phản ứng hóa học, Môn tự chọn 10, Xử lý nước thải, Ô nhiễm không khí",Trí tuệ nhân tạo
SV10038,Dược học,6.4,"Dược lý học, Triết học Mác-Lênin, Dinh dưỡng học, Giáo dục thể chất, Vi sinh y học, Toán cao cấp, Giải tích, Xác suất thống kê, Giáo dục quốc phòng - An ninh, Bệnh học nội khoa, Bệnh học ngoại khoa, Tiếng Anh chuyên ngành, Tin học cơ bản, Tư duy logic và giải quyết vấn đề, Dược lý lâm sàng, Bệnh học truyền nhiễm, Miễn dịch học, Dược lâm sàng","Robot học, Khoa học dữ liệu, Phát triển ứng dụng di động, Diễn thuyết"
